Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,19.735904,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,0.992822,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,6.910618,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,37.374829,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,169.791271,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,349.056128,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,7.969544,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,9.966250,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,70.906123,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,83.128982,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,178.380681,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,283.683207,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,111.046346,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,384.778952,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,31.977535,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,45.985733,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,56.068054,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,52.778936,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,89.948796,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,82.537172,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,31.042166,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,2.986475,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,3.040196,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,18.838983,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,136.104156,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,22.897815,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,45.427106,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,16.309508,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,36.896591,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,46.921319,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,10.107204,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,62.021111,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,3.992248,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,65.904192,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,13.000050,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,18.852515,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1301.009038,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,2184.618466,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,0.999921,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,5.035301,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,48.574435,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,3.935544,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,6.356225,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,1.129912,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,6.908371,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,0.339585,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,5.532355,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,1.489498,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,2.909947,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,11.042160,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,2.640037,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,11.533470,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,1.817020,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,17.236788,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,1.329676,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,0.223353,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,0.008043,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,10.169497,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,0.635713,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,0.911908,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,0.012202,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,0.033999,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,0.034016,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.019270,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.000000,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,0.056023,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,0.032202,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,10.149256,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,1.814524,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,2.986015,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,0.199792,0.600000
380,-97.744601,30.268129,48453001102,3053,-97.745963,30.26867,48453001102,13.936655,0.360000
3053,-97.745963,30.26867,48453001102,380,-97.744601,30.268129,48453001102,2.878510,0.360000
380,-97.744601,30.268129,48453001102,3325,-97.744177,30.267205,48453001102,15.826591,0.280000
3325,-97.744177,30.267205,48453001102,380,-97.744601,30.268129,48453001102,0.918955,0.280000
380,-97.744601,30.268129,48453001102,3297,-97.74345,30.269081,48453001101,7.861874,0.400000
3297,-97.74345,30.269081,48453001101,380,-97.744601,30.268129,48453001102,1.134895,0.400000
406,-97.742416,30.264483,48453001103,3331,-97.741224,30.264046,48453001103,19.089932,0.320000
3331,-97.741224,30.264046,48453001103,406,-97.742416,30.264483,48453001103,1.755889,0.320000
381,-97.741182,30.267364,48453001103,3327,-97.74247,30.267767,48453001103,0.801448,0.320000
3327,-97.74247,30.267767,48453001103,381,-97.741182,30.267364,48453001103,0.036021,0.320000
381,-97.741182,30.267364,48453001103,3304,-97.740772,30.268341,48453001101,18.002718,0.280000
3304,-97.740772,30.268341,48453001101,381,-97.741182,30.267364,48453001103,0.558625,0.280000
381,-97.741182,30.267364,48453001103,3311,-97.740092,30.267027,48453001103,19.843701,0.280000
3311,-97.740092,30.267027,48453001103,381,-97.741182,30.267364,48453001103,2.386065,0.280000
381,-97.741182,30.267364,48453001103,3329,-97.74156,30.26646,48453001103,6.682826,0.280000
3329,-97.74156,30.26646,48453001103,381,-97.741182,30.267364,48453001103,1.785220,0.280000
378,-97.743373,30.271875,48453001101,3322,-97.742775,30.27095,48453001101,7.253543,0.280000
3322,-97.742775,30.27095,48453001101,378,-97.743373,30.271875,48453001101,0.669273,0.280000
378,-97.743373,30.271875,48453001101,3337,-97.742107,30.272779,48453001101,2.215183,0.400000
3337,-97.742107,30.272779,48453001101,378,-97.743373,30.271875,48453001101,0.194785,0.400000
377,-97.740269,30.274993,48453000700,2779,-97.743195,30.276069,48453000700,2.542912,0.760000
2779,-97.743195,30.276069,48453000700,377,-97.740269,30.274993,48453000700,0.821569,0.760000
378,-97.743373,30.271875,48453001101,3341,-97.744542,30.272475,48453001101,4.353853,0.320000
3341,-97.744542,30.272475,48453001101,378,-97.743373,30.271875,48453001101,1.359486,0.320000
379,-97.740184,30.270625,48453001101,3343,-97.741096,30.271477,48453001101,12.471534,0.320000
3343,-97.741096,30.271477,48453001101,379,-97.740184,30.270625,48453001101,2.018183,0.320000
379,-97.740184,30.270625,48453001101,3307,-97.739349,30.272069,48453001101,0.000000,0.440000
3307,-97.739349,30.272069,48453001101,379,-97.740184,30.270625,48453001101,0.000000,0.440000
377,-97.740269,30.274993,48453000700,2780,-97.739643,30.276807,48453000700,4.407955,0.520000
2780,-97.739643,30.276807,48453000700,377,-97.740269,30.274993,48453000700,1.334672,0.520000
382,-97.738381,30.266557,48453001103,3312,-97.738174,30.267616,48453001101,2.685468,0.280000
3312,-97.738174,30.267616,48453001101,382,-97.738381,30.266557,48453001103,0.177681,0.280000
382,-97.738381,30.266557,48453001103,3299,-97.738673,30.265681,48453001103,7.490764,0.240000
3299,-97.738673,30.265681,48453001103,382,-97.738381,30.266557,48453001103,0.532368,0.240000
382,-97.738381,30.266557,48453001103,3345,-97.73691,30.265964,48453001103,0.000000,0.400000
3345,-97.73691,30.265964,48453001103,382,-97.738381,30.266557,48453001103,0.325934,0.400000
384,-97.733763,30.27371,48453000700,3357,-97.734578,30.273141,48453000700,18.213601,0.240000
3357,-97.734578,30.273141,48453000700,384,-97.733763,30.27371,48453000700,2.044604,0.240000
383,-97.736137,30.270537,48453001101,3314,-97.73793,30.269638,48453001101,2.574023,0.480000
3314,-97.73793,30.269638,48453001101,383,-97.736137,30.270537,48453001101,0.614689,0.480000
383,-97.736137,30.270537,48453001101,3362,-97.736834,30.272631,48453001101,0.000000,0.600000
3362,-97.736834,30.272631,48453001101,383,-97.736137,30.270537,48453001101,0.177792,0.600000
383,-97.736137,30.270537,48453001101,3315,-97.735483,30.269824,48453001101,6.774945,0.240000
3315,-97.735483,30.269824,48453001101,383,-97.736137,30.270537,48453001101,0.382386,0.240000
383,-97.736137,30.270537,48453001101,3364,-97.736033,30.271252,48453001101,5.469406,0.200000
3364,-97.736033,30.271252,48453001101,383,-97.736137,30.270537,48453001101,1.291922,0.200000
360,-97.742966,30.290562,48453000606,3764,-97.742467,30.295288,48453000601,6.926674,1.320000
3764,-97.742467,30.295288,48453000601,360,-97.742966,30.290562,48453000606,0.092094,1.320000
359,-97.743151,30.284903,48453000608,3796,-97.742861,30.287673,48453000608,0.001001,0.760000
